,age,agePerEdit,anonymousEditorRate,ari,auxiliaryVerbRate,bormuth,brokenLinkCount,categoryCount,characterCount,colemanLiauIndex,complexWordRate,conjunctionRate,currency,daleChall,difficultWordRate,discussionEditCount,easyWordRate,editCount,editorCount,editorRate,editsPerEditor,externalLinkCount,externalLinksPerSection,fileCount,fleschKincaidGradeLevel,fleschReadingEase,forcastGradeLevel,gunningFogIndex,headingCount,imageCount,imagesPerSection,inLinkCount,informationToNoiseRatio,internalLinkCount,languageLinkCount,linkRate,listRate,lix,longSentenceRate,longWordRate,longestSectionLength,longestSentenceLength,longestSubsectionLength,longestSubsubsectionLength,miyazaki,nominalizationRate,oneSyllableWordCount,oneSyllableWordRate,pageRank,paragraphCount,paragraphLength,passiveSentenceRate,peacockWordRate,prepositionRate,pronounRate,questionCount,questionRate,reciprocity,referenceCount,referenceSectionRate,referenceSectionsCount,referenceWordRate,registeredEditorRate,sectionCount,sectionLength,sectionNesting,sentenceBeginArticleRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginInterrogativePronounRate,sentenceBeginPrepositionRate,sentenceBeginPronounRate,sentenceBeginSubordinatingConjunctionRate,sentenceCount,sentenceLength,shortSentenceRate,shortestSectionLength,shortestSentenceLength,shortestSubsectionLength,shortestSubsubsectionLength,smogIndex,stopwordRate,subsectionCount,subsectionLength,subsectionNesting,subsubsectionCount,subsubsectionLength,syllableCount,tableCount,templateCount,to_be_verbRate,triviaSectionsCount,weaselWordRate,wordCount,wordLength,wordSyllables,has_flaw
230,1702,141.83333333299998,0.0,17.826039844500002,0.0,3.6231473712300004,0,1,1818,14.369154519,24.489795918400002,0.0,614,12.0055161322,44.023323615200006,4,55.976676384799994,12,12,1.0,1.0,6,6.0,0,17.162164723,22.9284560253,12.040816326500002,21.2292517007,1,0,0.0,2,0.416909620991,5,0,0.017910447761200002,0.011799410029500001,61.527939747299996,58.3333333333,32.944606414,0.0,51,76.0981,18.4473,10.5662546161,0.0,182,53.0612244898,0.0,5,2.4,66.6666666667,0.291545189504,0.0,0.0,0,0.0,0.4,0,0.0,0,0.0,100.0,1,0.0,0.0,16.6666666667,0.0,0.0,8.333333333330001,16.6666666667,0.0,12,28.5833333333,25.0,0.0,2,4.61916,10.555,17.4913767462,41.1078717201,0,28.6204,0.0,0,22.2201,628,0,27,4.6647230320699995,0,0.0,343,5.30029154519,1.83090379009,yes
2800,2313,44.4807692308,11.538461538499998,9.591646066960001,0.0,7.329600644760001,0,7,3080,10.6404354588,16.0186625194,0.0,69,10.271180789099999,36.702954898899996,10,63.2970451011,52,24,0.4615,2.1667,8,1.33333333333,1,9.892880821810001,54.273817426499996,11.3919129082,13.1758860604,6,0,0.0,20,0.357698289269,28,1,0.0602218700475,0.010971786833899998,41.8044118851,10.5263157895,24.8833592535,353.0,41,76.0981,18.4473,42.4997063927,0.311041990669,369,57.387247278400004,0.0,11,3.45454545455,47.368421052600006,0.466562986003,0.0,0.0,0,0.0,0.714285714286,6,1.0,1,0.0095087163233,88.4615384615,6,83.0,0.0,23.684210526300003,0.0,0.0,13.157894736800001,7.894736842110001,0.0,38,16.921052631600002,39.473684210500004,0.0,1,4.61916,10.555,12.017526793599998,43.234836703,0,28.6204,0.0,0,22.2201,1029,0,37,4.3545878693599995,0,0.933125972006,643,4.7900466563,1.60031104199,yes
4454,2119,43.2448979592,16.3265306122,10.135613445399999,0.0,6.057986837540001,0,8,1132,13.5213333333,30.0,0.0,141,12.2193963585,50.476190476199996,3,49.523809523800004,49,27,0.551,1.8148,2,0.666666666667,0,10.7485994398,40.0024789916,14.0,16.9411764706,3,0,0.0,3,0.495238095238,56,6,0.18932038835,0.123404255319,48.543417366899995,0.0,36.1904761905,0.0,23,76.0981,18.4473,39.9689361345,0.0,84,40.0,0.0,4,4.25,17.6470588235,0.47619047618999993,0.0,0.0,0,0.0,0.0535714285714,0,0.0,0,0.0,83.6734693878,3,0.0,0.0,23.529411764699997,0.0,0.0,17.6470588235,5.882352941180001,0.0,17,12.352941176500002,64.7058823529,0.0,2,4.61916,10.555,13.5440253503,37.619047619,0,28.6204,0.0,0,22.2201,383,0,16,1.9047619047599997,0,0.47619047618999993,210,5.390476190479999,1.8238095238099998,yes
2648,2328,15.215686274500001,59.477124183,10.0295571022,0.0,6.1568372807800005,0,3,4791,11.1918348624,15.188583078499999,0.0,2,11.4127228128,43.9347604485,11,56.0652395515,153,45,0.2941,3.4,2,0.222222222222,1,10.4204465886,50.4785091743,12.0489296636,12.8409504728,9,2,0.222222222222,28,0.311926605505,42,4,0.05729166666669999,0.00311526479751,42.1941193012,5.1724137931,25.2803261978,276.0,41,76.0981,18.4473,40.7519522303,0.407747196738,520,53.0071355759,0.0,13,4.46153846154,55.172413793100006,0.509683995923,0.0,0.0,0,0.0,0.666666666667,0,0.0,1,0.0,40.522875817,9,94.77777777780001,0.0,29.3103448276,0.0,0.0,10.3448275862,13.7931034483,0.0,58,16.9137931034,36.2068965517,0.0,1,4.61916,10.555,11.7788931829,40.5708460754,0,28.6204,0.0,0,22.2201,1614,0,31,4.38328236493,0,1.22324159021,981,4.88379204893,1.64525993884,yes
5515,2748,51.8490566038,7.54716981132,11.616343873499998,0.0,5.99753530735,0,5,2463,11.3878853755,19.7628458498,0.0,124,11.0375383874,40.513833992100004,13,59.486166007899996,53,32,0.6038,1.6563,1,1.0,0,12.195694861700002,43.6751944664,12.203557312300001,16.0011383399,1,0,0.0,41,0.326086956522,71,8,0.10642570281099999,0.0586011342155,46.1293280632,8.0,25.8893280632,0.0,58,76.0981,18.4473,34.6834287747,0.395256916996,263,51.976284585,0.0,5,5.0,44.0,0.0,0.0,0.0,0,0.0,0.577464788732,0,0.0,1,0.0,92.4528301887,1,0.0,0.0,16.0,0.0,0.0,20.0,16.0,0.0,25,20.24,32.0,0.0,1,4.61916,10.555,13.9544511501,45.8498023715,0,28.6204,0.0,0,22.2201,853,0,24,3.95256916996,0,0.592885375494,506,4.8675889328099995,1.6857707509900002,yes
2009,2386,59.65,5.0,7.602621764199999,0.0,8.38915748828,0,2,2260,9.142105263160001,6.68016194332,0.0,186,9.557094135689999,32.7935222672,2,67.2064777328,40,15,0.375,2.6667,5,0.625,0,7.42267574531,68.5083689118,10.799595141700001,8.65994356521,8,0,0.0,8,0.34817813765199995,84,1,0.0490797546012,0.0392927308448,34.4028953503,0.0,19.4331983806,142.0,29,76.0981,18.4473,50.281562630399996,0.202429149798,303,61.3360323887,0.0,21,1.57142857143,18.1818181818,1.0121457489899999,0.0,0.0,0,0.0,0.0952380952381,0,0.0,1,0.0,95.0,8,57.625,0.0,21.2121212121,0.0,0.0,6.06060606061,0.0,0.0,33,14.969696969700001,51.5151515152,0.0,1,4.61916,10.555,8.47722557505,41.295546558699996,0,28.6204,0.0,0,22.2201,719,0,58,3.03643724696,0,0.202429149798,494,4.57489878543,1.45546558704,yes
1944,1122,22.0,39.2156862745,10.3375581587,0.0,7.355747015510001,0,2,1583,11.6415987461,16.9278996865,0.0,340,10.2605745092,36.6771159875,1,63.3228840125,51,7,0.1373,7.2857,12,3.0,0,10.6738821977,48.4400791949,11.0188087774,13.4869493483,4,0,0.0,3,0.369905956113,11,0,0.0440251572327,0.0,44.06220095689999,10.5263157895,27.2727272727,93.0,35,76.0981,18.4473,39.513277511999995,0.31347962382399996,191,59.8746081505,0.0,11,1.72727272727,31.5789473684,0.0,0.0,0.0,0,0.0,0.272727272727,7,1.75,1,0.022012578616400002,60.7843137255,4,43.5,0.0,31.5789473684,0.0,5.26315789474,5.26315789474,10.5263157895,5.26315789474,19,16.7894736842,47.368421052600006,0.0,1,4.61916,10.555,12.233805168800002,40.4388714734,0,28.6204,0.0,0,22.2201,533,0,36,3.4482758620699996,0,2.1943573667700003,319,4.96238244514,1.6708463949799999,yes
119,1732,33.3076923077,38.4615384615,10.588240469199999,0.0,6.869112601169999,0,3,1757,12.612697947200001,19.3548387097,0.0,268,10.9343029326,41.348973607,3,58.651026393,52,21,0.4038,2.4762,13,3.25,0,11.2866715543,41.7500073314,12.4780058651,13.941935483900002,8,0,0.0,60,0.41055718475100006,37,0,0.12462908011900001,0.379373848987,46.878299120200005,13.6363636364,31.3782991202,224.0,42,144.0,18.4473,38.411357771300004,0.0,171,50.14662756600001,0.0,10,2.2,36.3636363636,0.5865102639299999,0.0,0.0,0,0.0,1.62162162162,0,0.0,0,0.0,61.5384615385,4,76.25,1.0,22.7272727273,0.0,0.0,9.090909090910001,4.54545454545,4.54545454545,22,15.5,40.9090909091,0.0,1,0.0,10.555,12.4868329805,36.9501466276,4,55.0,0.0,0,22.2201,602,0,33,3.22580645161,0,1.1730205278599999,341,5.15249266862,1.76539589443,yes
129,1730,78.6363636364,4.54545454545,9.741482433589999,0.0,7.56964286872,0,1,2039,12.7596658098,17.9948586118,0.0,48,10.6524744302,40.3598971722,4,59.6401028278,22,15,0.6818,1.4667,5,0.714285714286,2,10.1549177378,45.3519824336,11.323907455,12.3846101114,7,0,0.0,12,0.372750642674,87,2,0.25,0.318101933216,41.501371036799995,6.666666666669999,28.5347043702,123.0,36,76.0981,18.4473,41.589869237399995,0.0,225,57.840616966599995,0.0,9,3.33333333333,23.3333333333,0.25706940874,0.0,0.0,0,0.0,0.137931034483,0,0.0,1,0.0,95.4545454545,7,49.428571428599994,0.0,10.0,0.0,0.0,6.666666666669999,20.0,0.0,30,12.9666666667,63.3333333333,0.0,1,4.61916,10.555,11.366600265299999,43.701799485900004,0,28.6204,0.0,0,22.2201,682,0,43,4.11311053985,0,1.2853470437,389,5.24164524422,1.7532133676099997,yes
4430,2124,59.0,8.333333333330001,13.3502597403,0.0,5.90965619697,0,10,2496,12.06,18.8492063492,0.0,52,10.6940409091,37.5,12,62.5,36,14,0.3889,2.5714,4,2.0,0,12.9643867244,42.917987013,11.3095238095,16.703318903299998,2,0,0.0,5,0.35912698412699995,23,0,0.104294478528,0.0,52.2741702742,22.7272727273,29.3650793651,0.0,51,76.0981,18.4473,27.976038961,0.0,292,57.93650793649999,0.0,5,4.4,40.9090909091,0.39682539682499995,0.0,0.0,0,0.0,0.217391304348,2,1.0,1,0.0040899795501,91.6666666667,2,0.0,0.0,4.54545454545,0.0,0.0,0.0,40.9090909091,4.54545454545,22,22.909090909099998,27.2727272727,0.0,1,4.61916,10.555,14.381803659600001,43.4523809524,0,28.6204,0.0,0,22.2201,838,0,26,3.37301587302,0,0.39682539682499995,504,4.95238095238,1.6626984127000002,yes
