wordSyllables,wordLength,wordCount,weaselWordRate,triviaSectionsCount,to_be_verbRate,templateCount,tableCount,syllableCount,subsubsectionLength,subsubsectionCount,subsectionNesting,subsectionLength,subsectionCount,stopwordRate,smogIndex,shortestSubsubsectionLength,shortestSubsectionLength,shortestSentenceLength,shortestSectionLength,shortSentenceRate,sentenceLength,sentenceCount,sentenceBeginSubordinatingConjunctionRate,sentenceBeginPronounRate,sentenceBeginPrepositionRate,sentenceBeginInterrogativePronounRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginArticleRate,sectionNesting,sectionLength,sectionCount,registeredEditorRate,referenceWordRate,referenceSectionsCount,referenceSectionRate,referenceCount,reciprocity,questionRate,questionCount,pronounRate,prepositionRate,peacockWordRate,passiveSentenceRate,paragraphLength,paragraphCount,pageRank,oneSyllableWordRate,oneSyllableWordCount,nominalizationRate,miyazaki,longestSubsubsectionLength,longestSubsectionLength,longestSentenceLength,longestSectionLength,longWordRate,longSentenceRate,lix,listRate,linkRate,languageLinkCount,internalLinkCount,informationToNoiseRatio,inLinkCount,imagesPerSection,imageCount,headingCount,gunningFogIndex,forcastGradeLevel,fleschReadingEase,fleschKincaidGradeLevel,fileCount,externalLinksPerSection,externalLinkCount,editsPerEditor,editorRate,editorCount,editCount,easyWordRate,discussionEditCount,difficultWordRate,daleChall,currency,conjunctionRate,complexWordRate,colemanLiauIndex,characterCount,categoryCount,brokenLinkCount,bormuth,auxiliaryVerbRate,ari,anonymousEditorRate,agePerEdit,age,has_flaw
1,3.021739,46,0,0,0,16,0,46,38.0956,0,0,32.9551,0,23.913043,11.660254,14.6767,5.66071,7,0,50,23,2,0,0,0,0,0,0,0,0.259259,27,100,0,0,0,0,0.081081,0,0,0,0,0,0,1,2,0,32.608696,15,0,64.082478,35.3587,60.4917,39,7,19.565217,50,42.565217,0.738636,0.565217,0,37,0.73913,3,0,0,27,13.547826,15.108696,98.89,5.18,0,0,0,1.4444,0.6923,9,13,23.913043,1,76.086957,16.79143,4,0,10.869565,0.693696,139,2,0,-0.28723,0,4.302391,0,135.307692,1759,yes
2,7.5,4,0,0,0,16,0,8,38.0956,0,0,32.9551,0,0,5.738613,14.6767,5.66071,1,0,100,1,4,0,0,0,0,0,0,0,0,4,100,0,0,0,0,0.519231,0,0,0,0,0,0,7.41618,0,0,50,2,0,22.079,35.3587,60.4917,1,0,25,0,26,0.894737,2.75,1,52,1,27,0,0,4,10.4,12.5,36.62,8.4,0,0,0,1.1111,0.9,9,10,0,2,100,19.4761,66,0,25,-1.625,30,2,0,0.399001,0,14.395,0,175.9,1759,yes
1.642857,5.714286,14,0,0,0,25,0,23,38.0956,0,0,0,2,7.142857,5.738613,14.6767,0,1,0,100,1.75,8,0,0,0,0,0,0,0.333333,1,6,95.652174,0.071429,1,0.125,1,0.457627,0,0,0,0,0,0,7.41618,0,0,64.285714,9,0,54.199143,35.3587,0,3,3,28.571429,0,30.321429,0.91411,3.5,0,59,0.714286,27,0,0,8,6.414286,10.357143,66.073036,4.478214,0,0.166667,1,2.875,0.3478,8,23,57.142857,1,42.857143,10.490443,139,0,14.285714,0.714286,80,5,0,9.555114,0,6.359286,4.347826,76.478261,1759,yes
1.642857,5.714286,14,0,0,0,23,0,23,38.0956,0,0,0,2,7.142857,5.738613,14.6767,0,1,0,100,1.75,8,0,0,0,0,0,0,0.333333,1,6,100,0.142857,1,0.25,2,0.4,0,0,0,0,0,0,7.41618,0,0,64.285714,9,0,54.199143,35.3587,0,3,3,28.571429,0,30.321429,0.942623,5.357143,0,80,0.714286,32,0,0,8,6.414286,10.357143,66.073036,4.478214,0,0.166667,1,4.5714,0.2188,7,32,57.142857,2,42.857143,10.490443,530,0,14.285714,0.714286,80,5,0,9.555114,0,6.359286,0,54.96875,1759,yes
1.902256,5.393484,399,0.250627,0,3.759398,37,1,759,38.0956,0,0,39.5,2,33.58396,13.410912,14.6767,0,1,0,64.516129,12.870968,31,6.451613,3.225806,6.451613,0,0,12.903226,0.4,69,5,96.052632,0.002538,1,0.142857,1,0.354839,0,0,0,0,0,22.580645,1.631579,19,0,48.120301,192,1.503759,38.91988,35.3587,79,37,189,32.83208,9.677419,45.703048,0.143478,0.13198,2,124,0.398496,44,0.2,1,7,16.376457,12.781955,32.840141,11.876294,0,0.4,2,2.8148,0.3553,27,76,47.869674,1,52.130326,12.506278,362,0,28.070175,13.636792,2152,4,0,5.67889,0,10.408792,3.947368,35.026316,2662,yes
1.727273,5.909091,11,0,0,0,26,0,19,38.0956,0,0,0,1,9.090909,5.9277,14.6767,0,1,0,100,1.571429,7,0,0,0,0,0,0,0.166667,0.5,6,93.939394,0.090909,1,0.142857,1,0.38961,0,0,0,0,0,0,7.41618,0,0,63.636364,7,0,50.880506,35.3587,0,3,3,27.272727,0,28.844156,0.956,6,0,77,0.909091,30,0,0,7,7.901299,10.454545,59.112727,5.404675,0,0,0,2.5385,0.3939,13,33,45.454545,2,54.545455,12.32717,287,0,18.181818,-0.086364,65,5,0,7.693877,0,7.187532,6.060606,53.30303,1759,yes
2.192771,6.048193,83,0,0,3.614458,14,0,182,38.0956,0,0,32.9551,0,31.325301,14.14835,14.6767,5.66071,2,0,57.142857,11.857143,7,0,0,0,0,0,0,0,6.75,4,89.285714,0,0,0,0,0.333333,0,0,0,0,0,14.285714,1.75,4,0,37.349398,31,0,28.559076,35.3587,60.4917,29,27,45.783133,0,57.640275,0.411348,0.253012,0,15,0.578313,5,0,0,4,18.718761,14.39759,9.291566,14.908985,1,0.75,3,2.3333,0.4286,12,28,44.578313,1,55.421687,12.975699,111,0,34.939759,17.293735,502,3,0,5.33971,0,12.985559,10.714286,62.821429,1759,yes
1.7,5.166667,30,0,0,0,27,0,51,38.0956,0,0,0,2,30,6.651484,14.6767,0,1,0,88.888889,3.333333,9,0,0,0,0,0,0,0.333333,0.666667,6,100,0.448276,1,1.625,13,0.151163,0,0,0,0,3.333333,0,9,1,0,50,15,3.333333,61.456333,35.3587,0,19,3,20,0,23.333333,0.916185,2.689655,0,258,0.633333,39,0,0,8,6.666667,12.5,59.631667,5.77,0,0.333333,2,2.9231,0.3421,13,38,40,2,60,13.275833,126,0,13.333333,5.631667,155,2,0,6.45966,0,4.571667,0,46.236842,1757,yes
1.641509,5.245283,53,0,0,0,26,0,87,0,1,0.5,1,2,30.188679,7.582576,0,0,1,0,90,5.3,10,0,0,0,0,0,0,0.333333,4.5,6,100,0.384615,1,2.222222,20,0.142336,0,0,0,0,3.773585,0,2.5,4,0,58.490566,31,1.886792,56.210842,0,2,19,10,22.641509,0,27.941509,0.911263,1.865385,1,274,0.415094,39,0,0,9,7.403019,11.226415,62.583802,5.846811,0,0,0,2.5,0.4,12,30,43.396226,2,56.603774,12.837116,126,0,13.207547,9.43434,278,2,0,6.584654,0,5.925283,0,58.566667,1757,yes
2.1875,6.375,16,0,0,0,17,0,35,38.0956,0,0,32.9551,0,18.75,7.743416,14.6767,5.66071,1,0,100,2,8,0,0,0,0,0,12.5,0,0,7,100,0.0625,1,0.142857,1,0.411765,0,0,0,0,6.25,0,8,1,0,37.5,6,0,41.304,35.3587,60.4917,8,0,31.25,0,33.25,0.916667,1.625,1,68,0.6875,28,0,0,7,15.8,14.375,19.7425,11.0025,0,0,0,1.25,0.8,12,15,37.5,1,62.5,13.60445,66,0,37.5,6.74875,102,2,0,6.297021,0,9.59625,0,117.133333,1757,yes
