#pageid,age,agePerEdit,anonymousEditorRate,ari,auxiliaryVerbRate,bormuth,brokenLinkCount,categoryCount,characterCount,colemanLiauIndex,complexWordRate,conjunctionRate,currency,daleChall,difficultWordRate,discussionEditCount,easyWordRate,editCount,editorCount,editorRate,editsPerEditor,externalLinkCount,externalLinksPerSection,fileCount,fleschKincaidGradeLevel,fleschReadingEase,forcastGradeLevel,gunningFogIndex,headingCount,imageCount,imagesPerSection,inLinkCount,informationToNoiseRatio,internalLinkCount,languageLinkCount,linkRate,listRate,lix,longSentenceRate,longWordRate,longestSectionLength,longestSentenceLength,longestSubsectionLength,longestSubsubsectionLength,miyazaki,nominalizationRate,oneSyllableWordCount,oneSyllableWordRate,pageRank,paragraphCount,paragraphLength,passiveSentenceRate,peacockWordRate,prepositionRate,pronounRate,questionCount,questionRate,reciprocity,referenceCount,referenceSectionRate,referenceSectionsCount,referenceWordRate,registeredEditorRate,sectionCount,sectionLength,sectionNesting,sentenceBeginArticleRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginInterrogativePronounRate,sentenceBeginPrepositionRate,sentenceBeginPronounRate,sentenceBeginSubordinatingConjunctionRate,sentenceCount,sentenceLength,shortSentenceRate,shortestSectionLength,shortestSentenceLength,shortestSubsectionLength,shortestSubsubsectionLength,smogIndex,stopwordRate,subsectionCount,subsectionLength,subsectionNesting,subsubsectionCount,subsubsectionLength,syllableCount,tableCount,templateCount,to_be_verbRate,triviaSectionsCount,weaselWordRate,wordCount,wordLength,wordSyllables,has_flaw
1840364,2436,34.8,22.8571428571,7.44242169238,0.0,7.74065357784,0,6,1351,10.2479928315,17.5627240143,0.0,80,10.6334025401,40.5017921147,5,59.4982078853,70,42,0.6000,1.6667,0,0.0,0,8.25771544335,57.4645441795,11.5053763441,11.8772635188,5,1,0.2,8,0.4229390681,156,5,0.126811594203,5.69902,39.3705781518,0.0,27.2401433692,76,27,81.5612,39.0433,50.6966998597,0.358422939068,158,56.6308243728,0.000000,6,3.83333333333,34.7826086957,0.358422939068,0.0,0.0,0,0.0,0.0512820512821,2,0.4,1,0.00724637681159,77.1428571429,5,48.0,0.0,0.0,0.0,0.0,21.7391304348,26.0869565217,0.0,23,12.1304347826,69.5652173913,0,2,5.73399,12.8709,10.9945633701,43.3691756272,0,44.6734,0,0,57.3492,452,0,30,3.22580645161,0,0.358422939068,279,4.84229390681,1.62007168459,yes
18404762,1271,158.875,0.0,9.86607142857,0.0,7.29528833333,0,5,284,14.6741666667,27.0833333333,0.0,1,11.8716142857,50.0,1,50.0,8,7,0.8750,1.1429,0,0.0,0,11.6676190476,23.625,14.0625,13.5761904762,4,0,0.0,8,0.604166666667,13,0,0.395833333333,0.715976331361,54.7738095238,0.0,47.9166666667,3,20,0,39.0433,40.6107142857,0.0,19,39.5833333333,0.000000,1,7.0,14.2857142857,0.0,0.0,0.0,0,0.0,0.615384615385,0,0.0,1,0.0,100.0,2,1.5,1.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,7,6.85714285714,85.7142857143,0,1,0,12.8709,10.4642002729,37.5,2,0.0,0.0,0,57.3492,100,0,14,4.16666666667,0,0.0,48,5.91666666667,2.08333333333,yes
1840718,2436,76.125,25.0,6.33477477477,0.0,9.30470698198,0,5,509,8.77666666667,14.4144144144,0.0,0,9.08480990991,30.6306306306,4,69.3693693694,32,20,0.6250,1.6000,1,0.5,0,7.61099099099,62.4626126126,11.8918918919,10.6990990991,2,0,0.0,5,0.459459459459,14,0,0.2,0.0756302521008,36.6576576577,0.0,24.3243243243,0,24,81.5612,39.0433,55.132009009,0.0,60,54.0540540541,0.000000,2,4.5,33.3333333333,0.0,0.0,0.0,0,0.0,0.357142857143,2,1.0,1,0.0181818181818,75.0,2,0.0,0.0,11.1111111111,0.0,0.0,0.0,44.4444444444,11.1111111111,9,12.3333333333,66.6666666667,0,1,5.73399,12.8709,10.3029674334,42.3423423423,0,44.6734,0,0,57.3492,173,0,15,6.30630630631,0,0.0,111,4.58558558559,1.55855855856,yes
1840798,2436,21.5575221239,43.3628318584,11.4241419688,0.0,6.76470522792,0,10,6398,9.43168191414,11.8930330753,0.0,12,9.81451171652,31.8085855032,5,68.1914144968,113,32,0.2832,3.5313,2,1.0,0,10.8504654999,58.7612166449,11.1646727657,14.075246017,5,1,0.5,71,0.278676988037,75,1,0.0314735336195,5.69902,42.5069046273,24.5901639344,19.2118226601,1269,87,650,39.0433,35.6913372365,0.140745953554,837,58.9021815623,0.000000,10,6.1,44.262295082,0.140745953554,0.0,0.0,0,0.0,0.946666666667,2,0.4,1,0.00143061516452,56.6371681416,2,634.5,1.5,4.91803278689,0.0,0.0,26.2295081967,24.5901639344,9.83606557377,61,23.2950819672,31.1475409836,0,1,236,12.8709,12.1167293531,47.009148487,3,420.666666667,0.0,0,57.3492,2090,0,32,3.80014074595,0,0.492610837438,1421,4.50246305419,1.47079521464,yes
18408211,1271,13.5212765957,74.4680851064,5.52850356491,0.0,7.21511348649,0,2,1561,8.99843558282,14.1104294479,0.0,136,11.6779027193,48.1595092025,3,51.8404907975,94,10,0.1064,9.4000,13,2.6,0,6.66830210579,62.947241751,13.0061349693,9.16849610347,5,0,0.0,29,0.276073619632,18,0,0.0830769230769,0.0896358543417,28.135964185,0.0,19.3251533742,162,22,81.5612,39.0433,58.0709343392,0.0,152,46.6257668712,0.000000,12,3.08333333333,51.3513513514,3.06748466258,0.0,0.0,0,0.0,1.61111111111,5,1.0,1,0.0153846153846,25.5319148936,5,44.6,0.0,13.5135135135,0.0,0.0,0.0,5.40540540541,0.0,37,8.81081081081,81.0810810811,0,1,5.73399,12.8709,9.10715132425,35.8895705521,0,44.6734,0,0,57.3492,520,0,34,6.13496932515,0,0.613496932515,326,4.78834355828,1.59509202454,yes
18409713,1271,20.5,51.6129032258,6.17838753388,0.0,10.573130393,0,7,441,9.29134146341,17.0731707317,0.0,21,9.06160189702,32.9268292683,5,67.0731707317,62,17,0.2742,3.6471,4,0.285714285714,0,7.19642276423,51.5818428184,13.2317073171,8.65149051491,14,0,0.0,3,0.573170731707,8,2,0.20987654321,0.951641791045,38.701897019,5.55555555556,34.1463414634,0,31,81.5612,39.0433,55.1422628726,0.0,37,45.1219512195,0.000000,1,18.0,11.1111111111,2.43902439024,0.0,0.0,0,0.0,0.375,0,0.0,0,0.0,48.3870967742,14,0.0,0.0,5.55555555556,0.0,0.0,5.55555555556,0.0,0.0,18,4.55555555556,88.8888888889,0,1,5.73399,12.8709,7.8304589154,30.487804878,0,44.6734,0,0,57.3492,146,0,20,2.43902439024,0,2.43902439024,82,5.37804878049,1.78048780488,yes
184099,3244,23.1714285714,20.0,12.5997560976,0.0,6.57120821951,0,3,207,12.473902439,31.7073170732,0.0,41,10.4301292683,36.5853658537,29,63.4146341463,140,47,0.3357,2.9787,0,0.0,0,14.8537804878,25.0811585366,10.8536585366,20.8829268293,1,0,0.0,52,0.439024390244,36,9,0.658536585366,0.87306501548,52.2073170732,0.0,31.7073170732,0,23,81.5612,39.0433,30.7803170732,0.0,25,60.9756097561,0.000001,1,2.0,100.0,0.0,0.0,0.0,0,0.0,1.44444444444,1,1.0,1,0.0243902439024,80.0,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2,20.5,0.0,0,18,5.73399,12.8709,16.9642400438,56.0975609756,0,44.6734,0,0,57.3492,78,0,19,9.75609756098,0,0.0,41,5.0487804878,1.90243902439,yes
18410355,1271,24.9215686275,37.2549019608,11.2365345528,0.0,5.55356188618,0,7,1799,14.3100914634,24.6951219512,0.0,17,12.4982081301,51.8292682927,2,48.1707317073,51,14,0.2745,3.6429,7,1.0,0,11.0735365854,40.0127235772,14.2835365854,15.3447154472,7,1,0.142857142857,3,0.42987804878,16,0,0.0778816199377,0.0302114803625,50.2520325203,4.16666666667,36.5853658537,96,31,81.5612,39.0433,35.6801300813,0.30487804878,125,38.1097560976,0.000000,5,4.8,20.8333333333,1.21951219512,0.0,0.0,0,0.0,0.1875,1,0.142857142857,1,0.00311526479751,62.7450980392,7,35.0,0.0,0.0,0.0,0.0,0.0,29.1666666667,0.0,24,13.6666666667,54.1666666667,0,1,5.73399,12.8709,13.0623058987,39.3292682927,0,44.6734,0,0,57.3492,593,0,15,3.35365853659,0,0.30487804878,328,5.48475609756,1.80792682927,yes
18410444,1271,181.571428571,0.0,10.5682389937,0.0,7.0995255283,0,1,782,11.4703144654,19.4968553459,0.0,805,10.3719490566,37.106918239,2,62.893081761,7,4,0.5714,1.7500,2,2.0,0,9.25974842767,60.1410691824,12.358490566,14.865408805,1,0,0.0,3,0.377358490566,6,0,0.0479452054795,0.0,46.5974842767,0.0,28.9308176101,0,28,81.5612,39.0433,38.6621194969,1.25786163522,81,50.9433962264,0.000000,5,1.8,77.7777777778,0.0,0.0,0.0,0,0.0,0.5,0,0.0,1,0.0,100.0,1,0.0,0.0,11.1111111111,0.0,0.0,44.4444444444,22.2222222222,0.0,9,17.6666666667,33.3333333333,0,1,5.73399,12.8709,13.1653004547,43.3962264151,0,44.6734,0,0,57.3492,242,0,13,5.03144654088,0,0.0,159,4.91823899371,1.52201257862,yes
18411074,1271,22.298245614,33.3333333333,9.21262254902,0.0,6.59086149804,0,7,1246,9.52698529412,11.3970588235,0.0,96,10.8054721569,39.7058823529,2,60.2941176471,57,22,0.3860,2.5909,1,0.333333333333,0,7.96729411765,70.2384901961,12.2242647059,11.8121568627,6,0,0.0,16,0.393382352941,72,1,0.458955223881,0.447422680412,37.618627451,20.0,19.4852941176,20,71,0,39.0433,44.1075921569,0.0,141,51.8382352941,0.000000,6,2.5,46.6666666667,0.0,0.0,0.0,0,0.0,0.222222222222,1,0.166666666667,1,0.00373134328358,66.6666666667,3,7.0,1.0,13.3333333333,0.0,0.0,13.3333333333,6.66666666667,0.0,15,18.1333333333,60.0,0,1,0,12.8709,10.874007874,41.5441176471,3,0.0,0.0,0,57.3492,380,0,43,3.30882352941,0,0.367647058824,272,4.58088235294,1.39705882353,yes
