#pageid,age,agePerEdit,anonymousEditorRate,ari,auxiliaryVerbRate,bormuth,brokenLinkCount,categoryCount,characterCount,colemanLiauIndex,complexWordRate,conjunctionRate,currency,daleChall,difficultWordRate,discussionEditCount,easyWordRate,editCount,editorCount,editorRate,editsPerEditor,externalLinkCount,externalLinksPerSection,fileCount,fleschKincaidGradeLevel,fleschReadingEase,forcastGradeLevel,gunningFogIndex,headingCount,imageCount,imagesPerSection,inLinkCount,informationToNoiseRatio,internalLinkCount,languageLinkCount,linkRate,listRate,lix,longSentenceRate,longWordRate,longestSectionLength,longestSentenceLength,longestSubsectionLength,longestSubsubsectionLength,miyazaki,nominalizationRate,oneSyllableWordCount,oneSyllableWordRate,pageRank,paragraphCount,paragraphLength,passiveSentenceRate,peacockWordRate,prepositionRate,pronounRate,questionCount,questionRate,reciprocity,referenceCount,referenceSectionRate,referenceSectionsCount,referenceWordRate,registeredEditorRate,sectionCount,sectionLength,sectionNesting,sentenceBeginArticleRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginInterrogativePronounRate,sentenceBeginPrepositionRate,sentenceBeginPronounRate,sentenceBeginSubordinatingConjunctionRate,sentenceCount,sentenceLength,shortSentenceRate,shortestSectionLength,shortestSentenceLength,shortestSubsectionLength,shortestSubsubsectionLength,smogIndex,stopwordRate,subsectionCount,subsectionLength,subsectionNesting,subsubsectionCount,subsubsectionLength,syllableCount,tableCount,templateCount,to_be_verbRate,triviaSectionsCount,weaselWordRate,wordCount,wordLength,wordSyllables,has_flaw
10006387,1759,14.3008130081,52.0325203252,10.3028744939,0.0,5.45785953344,0,4,2292,10.0094736842,13.967611336,0.0,20,11.6485798057,44.5344129555,3,55.4655870445,123,32,0.2602,3.8438,9,1.8,0,10.2224728745,56.9672639676,12.044534413,13.4910445344,9,0,0.0,6,0.313765182186,33,1,0.0876826722338,0.0,38.9907692308,8.0,19.2307692308,230,210,83,21.4702,39.8860464777,0.202429149798,262,53.036437247,0.000000,23,1.08695652174,40.0,1.01214574899,0.0,0.0,0,0.0,0.181818181818,6,0.666666666667,1,0.0125260960334,47.9674796748,5,89.2,0.8,8.0,0.0,0.0,4.0,28.0,0.0,25,19.76,56.0,0,1,16,9.53353,12.0994505329,36.4372469636,4,58.25,0.0,0,29.6137,758,0,25,3.44129554656,0,0.202429149798,494,4.63967611336,1.53441295547,yes
10012934,1759,28.3709677419,50.0,11.3660979637,0.0,7.06965015502,0,3,1391,15.858185654,26.1603375527,0.0,26,11.5429121079,46.835443038,8,53.164556962,62,20,0.3226,3.1000,1,0.2,0,10.6843918547,36.8140616401,12.6582278481,14.5858741515,5,0,0.0,3,0.443037974684,10,0,0.0577777777778,0.0,50.81067694,0.0,40.5063291139,72,28,57.0751,21.4702,34.8978948817,0.0,116,48.9451476793,0.000000,6,3.83333333333,21.7391304348,0.0,0.0,0.0,0,0.0,0.3,0,0.0,0,0.0,50.0,5,35.4,0.0,34.7826086957,0.0,0.0,4.34782608696,0.0,0.0,23,10.3043478261,73.9130434783,12,1,4.02423,9.53353,11.9927507036,35.0210970464,0,32.5267,0,0,29.6137,447,0,17,5.48523206751,0,0.0,237,5.86919831224,1.88607594937,yes
10024181,1758,92.5263157895,26.3157894737,13.6100686813,0.0,5.13085651923,0,7,3166,12.7380448718,18.108974359,0.0,243,11.5487784799,43.108974359,2,56.891025641,19,11,0.5789,1.7273,5,1.66666666667,0,12.7302747253,43.4861538462,11.3701923077,16.1578754579,6,0,0.0,1,0.413461538462,20,0,0.0452342487884,0.0432766615147,51.1318681319,28.5714285714,28.8461538462,238,65,123,21.4702,26.8902637363,0.480769230769,359,57.5320512821,0.000000,9,3.11111111111,28.5714285714,0.801282051282,0.0,0.0,0,0.0,0.05,0,0.0,0,0.0,73.6842105263,3,191.0,1.0,21.4285714286,0.0,0.0,21.4285714286,7.14285714286,3.57142857143,28,22.2857142857,32.1428571429,129,1,1,9.53353,14.0032462742,38.3012820513,3,49.0,0.0,0,29.6137,1038,0,12,2.24358974359,0,0.961538461538,624,5.07371794872,1.66346153846,yes
10033264,1758,39.0666666667,51.1111111111,15.285971564,0.0,1.17581376537,0,2,3233,13.0978988942,19.1153238547,0.0,382,14.9201445118,63.5071090047,1,36.4928909953,45,15,0.3333,3.0000,2,1.0,1,13.0939627172,46.2830672986,13.9573459716,17.7741295419,2,1,0.5,3,0.224328593997,8,0,0.0204429301533,0.0,50.7544391785,12.0,25.4344391785,450,295,57.0751,21.4702,20.4431501422,0.0,255,40.2843601896,0.000000,45,0.555555555556,24.0,0.315955766193,0.0,0.0,0,0.0,0.375,0,0.0,0,0.0,48.8888888889,2,225.0,0.0,12.0,4.0,0.0,4.0,0.0,4.0,25,25.32,76.0,0,2,4.02423,9.53353,15.0498962651,25.1184834123,0,32.5267,0,0,29.6137,1009,0,39,1.26382306477,0,0.0,633,5.10742496051,1.59399684044,yes
10047754,1757,135.153846154,0.0,13.0133057851,0.0,5.95803023636,0,3,574,10.901322314,14.0495867769,0.0,349,10.448142314,35.5371900826,14,64.4628099174,13,8,0.6154,1.6250,4,2.0,0,11.889322314,52.924892562,10.7024793388,15.2998347107,2,0,0.0,2,0.380165289256,4,1,0.0583333333333,0.0,57.2578512397,40.0,33.0578512397,0,51,57.0751,21.4702,29.4222793388,0.0,75,61.9834710744,0.000000,1,5.0,60.0,0.0,0.0,0.0,0,0.0,0.5,4,2.0,1,0.0333333333333,100.0,2,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5,24.2,40.0,0,2,4.02423,9.53353,13.0995049384,47.1074380165,0,32.5267,0,0,29.6137,185,0,20,5.78512396694,0,0.826446280992,121,4.74380165289,1.52892561983,yes
10052996,1757,33.1509433962,15.0943396226,14.3890170326,0.0,5.61331776832,0,4,2422,14.9123702032,25.9593679458,0.0,459,11.4074983993,42.8893905192,4,57.1106094808,53,14,0.2642,3.7857,12,1.71428571429,0,14.1850779807,29.2277421506,11.9074492099,18.4382926329,7,1,0.142857142857,3,0.381489841986,13,1,0.0503432494279,0.126600284495,55.8022778576,18.1818181818,35.6659142212,103,49,57.0751,21.4702,23.6128153088,0.0,239,53.9503386005,0.000000,13,1.69230769231,36.3636363636,0.451467268623,0.0,0.0,0,0.0,0.230769230769,5,0.714285714286,1,0.0114416475973,84.9056603774,7,41.7142857143,0.0,0.0,0.0,0.0,18.1818181818,4.54545454545,4.54545454545,22,20.1363636364,27.2727272727,0,1,4.02423,9.53353,15.5227066491,39.5033860045,0,32.5267,0,0,29.6137,823,0,14,2.48306997743,0,0.225733634312,443,5.46726862302,1.85778781038,yes
10060014,1757,33.7884615385,36.5384615385,11.9232754342,0.0,5.98277116377,0,2,2410,13.0492473118,20.6451612903,0.0,53,11.4168457403,43.6559139785,3,56.3440860215,52,11,0.2115,4.7273,5,0.833333333333,0,11.3054301075,45.8627605459,12.6774193548,15.41191067,6,0,0.0,2,0.423655913978,11,0,0.0347826086957,0.0336134453782,49.0674110835,11.5384615385,31.1827956989,142,48,57.0751,21.4702,33.2729801489,0.860215053763,227,48.8172043011,0.000000,9,2.88888888889,46.1538461538,1.0752688172,0.0,0.0,0,0.0,0.181818181818,5,0.833333333333,1,0.0108695652174,63.4615384615,6,62.1666666667,0.0,38.4615384615,0.0,0.0,11.5384615385,11.5384615385,0.0,26,17.8846153846,42.3076923077,0,1,4.02423,9.53353,13.5246962317,38.9247311828,0,32.5267,0,0,29.6137,785,0,14,3.87096774194,0,0.860215053763,465,5.18279569892,1.68817204301,yes
10069426,1756,14.1612903226,13.7096774194,11.0646815729,0.0,6.50351744341,0,6,2602,14.906681128,21.9088937093,0.0,189,11.8609102342,48.3731019523,19,51.6268980477,124,21,0.1694,5.9048,17,2.83333333333,2,9.67639913232,46.7413009622,14.0130151844,13.4917626119,6,0,0.0,62,0.43600867679,7,0,0.0330396475771,0.12015503876,48.9137883086,2.5641025641,37.0932754881,333,35,57.0751,21.4702,36.2201208632,0.216919739696,184,39.9132321041,0.000000,11,3.54545454545,20.5128205128,0.0,0.0,0.0,0,0.0,8.85714285714,12,2.0,1,0.0264317180617,86.2903225806,6,71.1666666667,0.0,17.9487179487,2.5641025641,0.0,10.2564102564,7.69230769231,0.0,39,11.8205128205,76.9230769231,0,1,4.02423,9.53353,11.8143240065,35.7917570499,0,32.5267,0,0,29.6137,807,0,13,2.81995661605,0,0.216919739696,461,5.6442516269,1.75054229935,yes
1009112,2660,23.1304347826,23.4782608696,10.0307717462,0.0,5.78496570634,0,3,742,13.2674820144,26.618705036,0.0,27,12.4422564421,51.7985611511,12,48.2014388489,115,48,0.4174,2.3958,2,1.0,0,11.4101242642,35.7644865925,12.6618705036,15.7020274689,2,0,0.0,95,0.467625899281,14,3,0.159420289855,0.0547945205479,46.4493132767,0.0,33.8129496403,0,26,57.0751,21.4702,40.4095977763,0.0,68,48.9208633094,0.000001,3,3.66666666667,36.3636363636,0.0,0.0,0.0,0,0.0,6.78571428571,1,0.5,1,0.00724637681159,76.5217391304,2,0.0,0.0,9.09090909091,0.0,0.0,9.09090909091,18.1818181818,0.0,11,12.6363636364,72.7272727273,0,1,4.02423,9.53353,13.0453517066,37.4100719424,0,32.5267,0,0,29.6137,260,0,12,5.75539568345,0,0.719424460432,139,5.3381294964,1.87050359712,yes
1010068,2659,91.6896551724,24.1379310345,14.8414651368,0.0,5.47604209047,0,2,6851,13.1039507095,17.8491411501,0.0,40,10.8817343214,38.2374906647,1,61.7625093353,29,15,0.5172,1.9333,1,1.0,0,14.0854591622,37.438777378,11.6318147872,16.8778382782,1,0,0.0,5,0.288274831964,22,0,0.0183626625861,0.0,54.3678593251,30.9090909091,30.0224047797,0,62,57.0751,21.4702,22.1397498676,0.373412994772,747,55.787901419,0.000000,25,2.2,45.4545454545,0.0746825989544,0.0,0.0,1,1.81818181818,0.227272727273,0,0.0,0,0.0,75.8620689655,1,0.0,0.0,18.1818181818,3.63636363636,0.0,23.6363636364,14.5454545455,7.27272727273,55,24.3454545455,25.4545454545,0,2,4.02423,9.53353,14.4176896246,47.3487677371,0,32.5267,0,0,29.6137,2290,0,12,3.51008215086,0,0.67214339059,1339,5.11650485437,1.71023151606,yes
