#pageid,age,agePerEdit,anonymousEditorRate,ari,auxiliaryVerbRate,bormuth,brokenLinkCount,categoryCount,characterCount,colemanLiauIndex,complexWordRate,conjunctionRate,currency,daleChall,difficultWordRate,discussionEditCount,easyWordRate,editCount,editorCount,editorRate,editsPerEditor,externalLinkCount,externalLinksPerSection,fileCount,fleschKincaidGradeLevel,fleschReadingEase,forcastGradeLevel,gunningFogIndex,headingCount,imageCount,imagesPerSection,inLinkCount,informationToNoiseRatio,internalLinkCount,languageLinkCount,linkRate,listRate,lix,longSentenceRate,longWordRate,longestSectionLength,longestSentenceLength,longestSubsectionLength,longestSubsubsectionLength,miyazaki,nominalizationRate,oneSyllableWordCount,oneSyllableWordRate,pageRank,paragraphCount,paragraphLength,passiveSentenceRate,peacockWordRate,prepositionRate,pronounRate,questionCount,questionRate,reciprocity,referenceCount,referenceSectionRate,referenceSectionsCount,referenceWordRate,registeredEditorRate,sectionCount,sectionLength,sectionNesting,sentenceBeginArticleRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginInterrogativePronounRate,sentenceBeginPrepositionRate,sentenceBeginPronounRate,sentenceBeginSubordinatingConjunctionRate,sentenceCount,sentenceLength,shortSentenceRate,shortestSectionLength,shortestSentenceLength,shortestSubsectionLength,shortestSubsubsectionLength,smogIndex,stopwordRate,subsectionCount,subsectionLength,subsectionNesting,subsubsectionCount,subsubsectionLength,syllableCount,tableCount,templateCount,to_be_verbRate,triviaSectionsCount,weaselWordRate,wordCount,wordLength,wordSyllables,has_flaw
32802,3650,6.95238095238,38.8571428571,12.2345608108,0.0,5.86280304955,0,6,4603,13.1095382883,22.0720720721,0.0,13,11.4355527027,43.5810810811,63,56.4189189189,525,186,0.3543,2.8226,13,1.85714285714,1,12.7002252252,36.9588513514,12.2804054054,16.2288288288,8,4,0.571428571429,159,0.381756756757,46,19,0.12700228833,0.0504731861199,47.6666666667,18.75,29.1666666667,601,52,0,39.0433,32.0795675676,0.45045045045,457,51.463963964,0.000001,12,4.0,39.5833333333,0.788288288288,0.0,0.0,0,0.0,3.45652173913,10,1.25,2,0.0114416475973,61.1428571429,7,106.142857143,0.142857142857,16.6666666667,0.0,0.0,8.33333333333,14.5833333333,2.08333333333,48,18.5,47.9166666667,0,1,0,12.8709,14.0679718106,41.8918918919,1,0.0,0.0,0,57.3492,1586,0,34,3.04054054054,0,0.563063063063,888,5.18355855856,1.78603603604,yes
65573,3447,17.5867346939,28.5714285714,8.5020663287,0.0,7.86291707924,0,13,4938,9.88768500949,14.0417457306,0.0,1,9.94477272933,35.009487666,20,64.990512334,196,87,0.4439,2.2529,8,1.14285714286,1,7.94294684075,66.1348592427,12.3719165085,11.9092356057,13,0,0.0,51,0.365275142315,53,10,0.0895091434071,0.0151658767773,40.4941516327,8.9552238806,24.7628083491,452,75,168,39.0433,46.7530479764,0.379506641366,536,50.8538899431,0.000000,20,3.35,43.2835820896,0.853889943074,0.0,0.0,0,0.0,0.962264150943,4,0.307692307692,1,0.00384985563041,71.4285714286,7,136.428571429,0.857142857143,5.97014925373,2.98507462687,0.0,25.3731343284,28.3582089552,2.98507462687,67,15.7313432836,53.7313432836,0,1,47,12.8709,11.1405562904,43.6432637571,6,120.666666667,0.0,0,57.3492,1554,0,39,3.60531309298,0,1.04364326376,1054,4.68500948767,1.47438330171,yes
32899,4004,36.0720720721,29.7297297297,12.4309090909,0.0,6.9201286,0,17,1146,16.0178787879,27.7777777778,0.0,41,11.229250303,43.9393939394,15,56.0606060606,111,50,0.4505,2.2200,2,0.5,0,14.4095151515,15.2642727273,12.803030303,16.3911111111,4,0,0.0,194,0.454545454545,179,2,0.218274111675,0.358306188925,51.0787878788,6.66666666667,37.8787878788,0,37,81.5612,39.0433,30.8779818182,0.0,95,47.9797979798,0.000002,4,3.75,26.6666666667,1.51515151515,0.0,0.0,0,0.0,1.08379888268,1,0.25,2,0.00507614213198,70.2702702703,4,0.0,0.0,0.0,0.0,0.0,13.3333333333,26.6666666667,6.66666666667,15,13.2,66.6666666667,0,1,5.73399,12.8709,13.4880884817,38.8888888889,0,44.6734,0,0,57.3492,417,0,28,3.53535353535,0,1.0101010101,198,5.78787878788,2.10606060606,yes
65707,3446,8.34382566586,35.1089588378,12.2488011914,0.0,5.64168752991,0,6,4908,13.0798734177,20.4641350211,0.0,11,11.6373266816,44.8312236287,56,55.1687763713,413,149,0.3608,2.7718,15,3.0,11,11.1767113428,48.0388272524,12.5474683544,15.6209481261,10,0,0.0,433,0.373417721519,295,17,0.275053304904,0.357973990418,49.9173492182,15.6862745098,31.3291139241,783,54,99,39.0433,32.0297133284,0.42194092827,471,49.6835443038,0.000002,24,2.125,45.0980392157,0.316455696203,0.0,0.0,0,0.0,1.46779661017,14,1.4,1,0.0149253731343,64.8910411622,5,157.0,1.0,11.7647058824,0.0,0.0,9.80392156863,7.8431372549,1.96078431373,51,18.5882352941,41.1764705882,0,1,0,12.8709,13.6825861597,38.1856540084,5,70.4,0.0,0,57.3492,1568,0,85,3.5864978903,0,1.26582278481,948,5.17721518987,1.65400843882,yes
131415,3359,31.1018518519,45.3703703704,8.41463285486,0.0,7.71235402073,0,2,2284,10.4373894737,16.8421052632,0.0,123,10.300776236,37.6842105263,3,62.3157894737,108,39,0.3611,2.7692,4,0.8,0,8.23289952153,61.6739936204,12.1368421053,12.4944178628,5,0,0.0,198,0.357894736842,238,2,0.111111111111,0.0866807610994,36.7097288676,12.1212121212,22.3157894737,234,46,81.5612,39.0433,46.9963637002,0.210526315789,249,52.4210526316,0.000000,8,4.125,30.303030303,0.421052631579,0.0,0.0,0,0.0,0.831932773109,0,0.0,1,0.0,54.6296296296,5,82.0,0.0,27.2727272727,0.0,0.0,12.1212121212,6.06060606061,3.0303030303,33,14.3939393939,66.6666666667,0,1,5.73399,12.8709,11.5280286542,45.6842105263,0,44.6734,0,0,57.3492,733,0,66,6.94736842105,0,0.210526315789,475,4.80842105263,1.54315789474,yes
131522,3359,56.9322033898,20.3389830508,9.50846789764,0.0,7.21534042774,0,1,4617,11.3564561028,15.6316916488,0.0,41,10.634182585,39.5074946467,6,60.4925053533,59,32,0.5424,1.8438,6,1.2,0,9.10481588093,57.0570216239,12.034261242,12.3772668235,5,0,0.0,120,0.315845824411,151,2,0.0573394495413,0.0,41.9710043178,6.55737704918,26.6595289079,515,39,81.5612,39.0433,42.7045685751,0.107066381156,496,53.1049250535,0.000000,14,4.35714285714,42.6229508197,0.107066381156,0.0,0.0,0,0.0,0.794701986755,3,0.6,1,0.00344036697248,79.6610169492,5,163.0,0.0,34.4262295082,0.0,0.0,11.4754098361,3.27868852459,3.27868852459,61,15.3114754098,57.3770491803,0,1,5.73399,12.8709,11.473681531,44.7537473233,0,44.6734,0,0,57.3492,1482,0,97,6.63811563169,0,0.428265524625,934,4.94325481799,1.58672376874,yes
98755,3380,11.0819672131,45.5737704918,9.80488859764,0.0,6.82105505505,0,5,4884,11.5973088685,16.4118246687,0.0,15,10.9759376584,41.5902140673,4,58.4097859327,305,93,0.3049,3.2796,10,1.11111111111,0,9.88489587884,51.9272477064,12.2171253823,12.7933012961,10,1,0.111111111111,284,0.371049949032,147,1,0.0854700854701,0.0841487279843,40.3420707733,14.2857142857,24.7706422018,285,44,158,39.0433,41.5424180865,0.0,509,51.8858307849,0.000001,19,3.31578947368,26.9841269841,0.407747196738,0.0,0.0,0,0.0,1.93197278912,3,0.3,1,0.00320512820513,54.4262295082,9,92.8888888889,0.111111111111,26.9841269841,1.5873015873,0.0,7.93650793651,4.7619047619,6.34920634921,63,15.5714285714,58.7301587302,0,1,158,12.8709,11.7559503577,37.1049949032,1,158.0,0.0,0,57.3492,1613,0,78,3.9755351682,0,0.815494393476,981,4.97859327217,1.64424057085,yes
66103,3445,30.4867256637,17.6991150442,12.4231578947,0.0,5.7536023644,0,8,1706,14.3857961783,25.4777070064,0.0,28,11.8483390211,46.8152866242,5,53.1847133758,113,55,0.4867,2.0545,9,2.25,1,10.9603586993,45.9174773718,14.076433121,16.8016091183,4,6,1.5,283,0.388535031847,192,8,0.535483870968,0.535928143713,56.0167616493,10.5263157895,39.4904458599,59,40,81.5612,39.0433,31.1713687563,0.31847133758,124,39.4904458599,0.000002,8,2.375,21.0526315789,0.0,0.0,0.0,0,0.0,1.47395833333,5,1.25,1,0.0161290322581,82.3008849558,4,14.75,0.0,42.1052631579,0.0,0.0,15.7894736842,15.7894736842,0.0,19,16.5263157895,42.1052631579,0,1,5.73399,12.8709,14.239029739,41.0828025478,0,44.6734,0,0,57.3492,535,0,37,2.22929936306,0,0.31847133758,314,5.43312101911,1.70382165605,yes
65635,3446,21.6729559748,38.3647798742,12.633041958,0.0,4.9682462028,0,1,4429,13.0657459207,24.1258741259,0.0,0,12.1490379953,47.7855477855,25,52.2144522145,159,63,0.3962,2.5238,5,1.0,3,11.4341142191,47.8173251748,13.0594405594,17.4503496503,10,2,0.4,56,0.268065268065,45,6,0.0768321513002,0.0966029723992,50.1526806527,20.4545454545,30.6526806527,427,66,303,39.0433,30.5686083916,0.932400932401,397,46.2703962704,0.000001,23,1.91304347826,50.0,0.2331002331,0.0,0.0,0,0.0,1.24444444444,3,0.3,1,0.00354609929078,61.6352201258,5,147.2,1.0,15.9090909091,0.0,0.0,25.0,15.9090909091,4.54545454545,44,19.5,38.6363636364,0,1,0,12.8709,14.8800826443,42.1911421911,5,135.4,0.0,0,57.3492,1412,0,32,4.1958041958,0,0.2331002331,858,5.162004662,1.64568764569,yes
131746,3359,58.9298245614,15.7894736842,7.29946072077,0.0,7.86946021182,0,2,1851,9.34383458647,16.5413533835,0.0,92,10.2550178118,37.5939849624,1,62.4060150376,57,29,0.5088,1.9655,4,1.0,0,7.54979690606,65.439924812,12.2932330827,12.1199896292,4,0,0.0,41,0.340852130326,62,1,0.0931506849315,5.69902,33.0568663037,6.89655172414,19.298245614,221,35,81.5612,39.0433,51.3955579466,0.0,205,51.3784461153,0.000000,8,3.625,27.5862068966,0.0,0.0,0.0,0,0.0,0.661290322581,1,0.25,1,0.0027397260274,84.2105263158,4,84.75,0.0,24.1379310345,0.0,0.0,13.7931034483,3.44827586207,6.89655172414,29,13.7586206897,62.0689655172,0,1,5.73399,12.8709,11.2629209163,44.3609022556,0,44.6734,0,0,57.3492,601,0,81,6.76691729323,0,0.501253132832,399,4.63909774436,1.50626566416,yes
131750,3359,57.9137931034,8.62068965517,7.06675152572,0.0,8.01124300291,0,1,2193,9.59090322581,18.7096774194,0.0,60,10.3041954374,38.2795698925,7,61.7204301075,58,39,0.6724,1.4872,6,1.0,0,7.43006102877,64.176983435,12.1612903226,12.5108979948,6,0,0.0,78,0.38064516129,99,4,0.0794392523364,0.0655021834061,34.5030514385,5.40540540541,21.935483871,227,35,81.5612,39.0433,52.2300437663,0.0,243,52.2580645161,0.000000,11,3.36363636364,27.027027027,0.645161290323,0.0,0.0,0,0.0,0.787878787879,4,0.666666666667,1,0.00934579439252,91.3793103448,6,65.1666666667,0.0,27.027027027,0.0,0.0,13.5135135135,8.10810810811,2.7027027027,37,12.5675675676,72.972972973,0,1,5.73399,12.8709,11.398841619,44.5161290323,0,44.6734,0,0,57.3492,714,0,71,6.88172043011,0,0.645161290323,465,4.71612903226,1.53548387097,yes
