#pageid,age,agePerEdit,anonymousEditorRate,ari,auxiliaryVerbRate,bormuth,brokenLinkCount,categoryCount,characterCount,colemanLiauIndex,complexWordRate,conjunctionRate,currency,daleChall,difficultWordRate,discussionEditCount,easyWordRate,editCount,editorCount,editorRate,editsPerEditor,externalLinkCount,externalLinksPerSection,fileCount,fleschKincaidGradeLevel,fleschReadingEase,forcastGradeLevel,gunningFogIndex,headingCount,imageCount,imagesPerSection,inLinkCount,informationToNoiseRatio,internalLinkCount,languageLinkCount,linkRate,listRate,lix,longSentenceRate,longWordRate,longestSectionLength,longestSentenceLength,longestSubsectionLength,longestSubsubsectionLength,miyazaki,nominalizationRate,oneSyllableWordCount,oneSyllableWordRate,pageRank,paragraphCount,paragraphLength,passiveSentenceRate,peacockWordRate,prepositionRate,pronounRate,questionCount,questionRate,reciprocity,referenceCount,referenceSectionRate,referenceSectionsCount,referenceWordRate,registeredEditorRate,sectionCount,sectionLength,sectionNesting,sentenceBeginArticleRate,sentenceBeginCoordinatingConjunctionRate,sentenceBeginInterrogativePronounRate,sentenceBeginPrepositionRate,sentenceBeginPronounRate,sentenceBeginSubordinatingConjunctionRate,sentenceCount,sentenceLength,shortSentenceRate,shortestSectionLength,shortestSentenceLength,shortestSubsectionLength,shortestSubsubsectionLength,smogIndex,stopwordRate,subsectionCount,subsectionLength,subsectionNesting,subsubsectionCount,subsubsectionLength,syllableCount,tableCount,templateCount,to_be_verbRate,triviaSectionsCount,weaselWordRate,wordCount,wordLength,wordSyllables,has_flaw
1004399,2661,18.2260273973,21.2328767123,15.1721028588,0.0,5.3593752181,0,4,4183,15.4438594164,23.7400530504,0.0,83,11.5232622163,43.3687002653,7,56.6312997347,146,58,0.3973,2.5172,8,1.0,0,14.7541954023,26.5867337165,12.1816976127,17.8737989979,8,3,0.375,36,0.389920424403,28,7,0.0548128342246,0.19113372093,56.0903330386,19.4444444444,35.1458885942,294,135,49.4853,58.3338,20.5522136752,0.663129973475,393,52.1220159151,0.000000,40,0.9,50.0,0.132625994695,0.0,0.0,0,0.0,1.28571428571,1,0.125,1,0.00133689839572,78.7671232877,8,72.0,0.0,5.55555555556,0.0,0.0,13.8888888889,13.8888888889,0.0,36,20.9444444444,44.4444444444,0,1,3.19164,5.25678,15.2133806404,38.1962864721,0,56.195,0,0,106.533,1417,0,30,3.84615384615,0,1.85676392573,754,5.54774535809,1.87931034483,yes
10063412,1756,159.636363636,27.2727272727,12.264053044,0.0,6.74607738819,0,1,2037,12.9795696203,24.3037974684,0.0,479,10.5256802291,37.7215189873,3,62.2784810127,11,6,0.5455,1.8333,2,0.4,0,12.1791320072,41.2461181435,13.3164556962,17.2453285112,5,0,0.0,2,0.26582278481,38,0,0.0356234096692,0.00506329113924,54.2525617842,19.0476190476,35.4430379747,145,63,49.4853,58.3338,31.9863220012,0.253164556962,176,44.5569620253,0.000000,12,1.75,19.0476190476,0.0,0.0,0.0,0,0.0,0.0526315789474,0,0.0,1,0.0,72.7272727273,5,69.2,0.0,38.0952380952,0.0,0.0,4.7619047619,4.7619047619,0.0,21,18.8095238095,42.8571428571,0,1,3.19164,5.25678,14.7108008754,45.3164556962,0,56.195,0,0,106.533,684,0,19,3.03797468354,0,0.0,395,5.15696202532,1.73164556962,yes
10088692,1755,54.84375,3.125,8.955,0.0,7.365170555,0,1,1232,13.2467857143,26.7857142857,0.0,13,11.4824785,46.875,2,53.125,32,20,0.6250,1.6000,3,0.428571428571,0,8.76511428571,48.1798857143,12.7008928571,14.2982857143,8,0,0.0,23,0.46875,42,11,0.0765765765766,0.0826446280992,41.5492857143,0.0,32.5892857143,66,26,12,58.3338,44.41164,0.0,109,48.6607142857,0.000000,9,2.77777777778,8.0,0.0,0.0,0.0,0,0.0,0.547619047619,0,0.0,1,0.0,96.875,7,27.1428571429,0.142857142857,16.0,0.0,0.0,16.0,12.0,0.0,25,8.96,84.0,0,1,12,5.25678,11.4852813742,40.1785714286,1,12.0,0.0,0,106.533,396,0,80,7.14285714286,0,0.0,224,5.5,1.76785714286,yes
1015401,2657,69.9210526316,39.4736842105,8.48351432077,0.0,8.17083727214,0,3,11425,9.23116288331,10.8323377141,0.0,3,9.45209441592,31.501393867,4,68.498606133,38,20,0.5263,1.9000,2,0.142857142857,0,8.0430728309,67.6164410782,9.32497013142,11.1194215721,14,0,0.0,9,0.223815213063,16,0,0.00760913095715,0.0392458637938,36.2812301549,10.1351351351,19.3150139387,1083,56,49.4853,58.3338,46.9245039233,0.278773397053,1787,71.1668657905,0.000000,35,4.22857142857,45.2702702703,0.119474313023,0.0,0.0,2,1.35135135135,0.5625,15,1.07142857143,1,0.00600720865038,60.5263157895,14,166.142857143,0.0,12.8378378378,0.675675675676,0.0,17.5675675676,22.972972973,0.675675675676,148,16.9662162162,46.6216216216,0,1,3.19164,5.25678,10.4253037066,49.8606133015,0,56.195,0,0,106.533,3621,0,16,6.13301473517,0,1.0752688172,2511,4.54998008761,1.44205495818,yes
10159700,1751,17.8673469388,9.18367346939,15.5197214318,0.0,5.29640727228,0,6,2984,12.0678088962,22.2405271829,0.0,67,10.5458163397,35.0906095552,2,64.9093904448,98,33,0.3367,2.9697,1,0.333333333333,0,14.8047214318,38.0625172233,12.8583196046,19.9325745095,3,0,0.0,7,0.334431630972,24,3,0.0677685950413,0.519077901431,58.0686685637,31.8181818182,30.4777594728,0,65,49.4853,58.3338,19.6897176876,0.658978583196,289,47.6112026359,0.000000,6,3.66666666667,63.6363636364,0.164744645799,0.0,0.0,0,0.0,0.291666666667,19,6.33333333333,1,0.0314049586777,90.8163265306,3,0.0,0.0,9.09090909091,0.0,0.0,4.54545454545,18.1818181818,9.09090909091,22,27.5909090909,31.8181818182,0,1,3.19164,5.25678,16.568010506,48.4349258649,0,56.195,0,0,106.533,1010,0,20,4.77759472817,0,1.15321252059,607,4.91598023064,1.66392092257,yes
10167815,1751,54.71875,0.0,10.9104347826,0.0,5.03080563478,0,5,1808,11.5073913043,23.097826087,0.0,755,12.2725095652,48.9130434783,0,51.0869565217,32,7,0.2188,4.5714,4,2.0,0,11.2740434783,47.0057391304,12.1739130435,16.5991304348,2,2,1.0,6,0.239130434783,3,0,0.0254237288136,0.0111111111111,44.7586956522,20.0,26.3586956522,0,40,49.4853,58.3338,37.3546869565,0.815217391304,192,52.1739130435,0.000000,7,2.85714285714,50.0,0.271739130435,0.0,0.0,0,0.0,2.0,3,1.5,1,0.00847457627119,100.0,2,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.0,20,18.4,55.0,0,1,3.19164,5.25678,14.2915897906,36.4130434783,0,56.195,0,0,106.533,614,0,19,4.61956521739,0,0.815217391304,368,4.91304347826,1.66847826087,yes
10247848,1746,174.6,0.0,11.1331008287,0.0,4.78119061326,0,2,1034,15.1959116022,15.4696132597,0.0,779,13.6192574586,59.6685082873,2,40.3314917127,10,6,0.6000,1.6667,5,1.66666666667,0,9.03181975138,50.4577848757,13.2044198895,10.7128453039,3,0,0.0,3,0.574585635359,2,0,0.0189873417722,0.408239700375,40.041781768,6.25,28.729281768,91,30,49.4853,58.3338,35.9070566298,0.0,82,45.3038674033,0.000000,12,1.33333333333,0.0,0.0,0.0,0.0,0,0.0,1.5,0,0.0,1,0.0,100.0,3,49.0,0.0,0.0,0.0,0.0,6.25,12.5,0.0,16,11.3125,81.25,12,1,3.19164,5.25678,10.2456883731,27.0718232044,0,56.195,0,0,106.533,310,0,15,1.10497237569,0,0.0,181,5.71270718232,1.71270718232,yes
10255629,1746,91.8947368421,0.0,5.41788461538,0.0,8.45129004615,0,5,239,8.38673076923,9.61538461538,0.0,238,10.2254169231,38.4615384615,2,61.5384615385,19,11,0.5789,1.7273,1,0.333333333333,0,5.25830769231,75.8866923077,14.2307692308,8.00615384615,3,0,0.0,4,0.461538461538,55,0,0.14,0.21875,25.7846153846,20.0,15.3846153846,0,36,49.4853,58.3338,58.6376769231,0.0,20,38.4615384615,0.000000,1,5.0,40.0,0.0,0.0,0.0,0,0.0,0.0727272727273,0,0.0,0,0.0,100.0,3,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5,10.4,80.0,0,1,3.19164,5.25678,8.47722557505,42.3076923077,0,56.195,0,0,106.533,74,1,22,5.76923076923,0,0.0,52,4.59615384615,1.42307692308,yes
10285078,1745,158.636363636,18.1818181818,14.571989011,0.0,4.08749102198,0,5,2693,17.2148791209,35.8241758242,0.0,399,13.5000604396,57.3626373626,2,42.6373626374,11,8,0.7273,1.3750,1,0.333333333333,0,15.8516758242,10.3570741758,13.5714285714,20.8296703297,3,0,0.0,4,0.435164835165,13,0,0.0442477876106,0.0794297352342,61.0851648352,7.14285714286,44.8351648352,0,86,49.4853,58.3338,22.5761406593,0.43956043956,195,42.8571428571,0.000000,10,2.8,17.8571428571,0.21978021978,0.0,0.0,0,0.0,0.307692307692,0,0.0,0,0.0,81.8181818182,3,0.0,0.0,50.0,0.0,0.0,3.57142857143,0.0,0.0,28,16.25,50.0,0,1,3.19164,5.25678,16.21525093,31.4285714286,0,56.195,0,0,106.533,968,0,17,2.85714285714,0,0.21978021978,455,5.91868131868,2.12747252747,yes
10308363,1744,12.0275862069,43.4482758621,11.4435087719,0.0,6.84997646604,0,2,4926,11.0169005848,14.7173489279,0.0,11,10.1638631501,34.8927875244,4,65.1072124756,145,38,0.2621,3.8158,6,2.0,1,11.090382846,52.0984280702,10.8479532164,14.0949395712,5,0,0.0,11,0.335282651072,19,0,0.0196850393701,0.0202507232401,44.2042105263,14.0,23.6842105263,839,60,747,58.3338,35.3951010526,0.0974658869396,626,61.0136452242,0.000000,12,4.16666666667,64.0,0.389863547758,0.0,0.0,0,0.0,0.578947368421,2,0.4,1,0.00196850393701,56.5517241379,3,279.666666667,0.666666666667,30.0,0.0,0.0,14.0,14.0,2.0,50,20.52,28.0,0,1,89,5.25678,12.5184032274,46.3937621832,2,418.0,0.0,0,106.533,1624,0,43,5.36062378168,0,0.779727095517,1026,4.80116959064,1.5828460039,yes
